Unit,2017-2018,Lab
COL ,0,Community-Based Observation Laboratory
CRL,0,Computational Research Laboratory
EDL,5,Experimental Decision Laboratory
EHL,0,EEG Hyperscanning Laboratory
MMRL,0,Mixed Methods Research Laboratory
QRL,6,Qualitative Research Laboratory
SGAL,9,Survey and Group Analysis Laboratory
SNL,4,Social Network Laboratory
TSL,1,The Spatial Laboratory
ViTAL,5,Video Therapy Analysis Laboratory
