from,to,value
7,1,1
12,1,2
12,3,1
12,14,1
19,1,6
19,3,2
19,4,1
19,5,1
19,8,4
19,10,3
19,11,1
19,15,1
19,17,1
19,18,2
19,21,3
20,1,7
20,2,1
20,3,2
20,6,3
20,9,1
20,13,2
20,16,1
20,22,3
20,23,1
20,24,2
20,25,1
20,26,1
20,27,2
20,28,1
29,1,1
